Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
Ros,"The winter town , the North","300 AC King's Landing , the Crownlands",,"['Petyr Baelish', 'Varys']",,Northern,,,,Game of Thrones,1 · 2 · 3,14 episodes ( see below ),""" Winter Is Coming """,""" The Climb ""","""The Climb""",Esmé Bianco,,,,,,,,,,1
Ros%27s dissatisfied customer,,,,['Unknown'],,,,,,Game of Thrones,2,""" The Night Lands """,,,,Derek Reid,,,,,,,,,,0
Gyles Rosby,At Rosby,,Rosby,['Baratheon'],Lord of Rosby,Andal,,,,Game of Thrones,1,3 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" Fire and Blood """,,Unidentified,,Faith of the Seven,,,,,,,,0
Royal Steward,,,,['Baratheon'],,,,,,Game of Thrones,1,4 episodes ( see below ),""" Lord Snow """,""" The Pointy End """,,Robert Sterne,,,,,,,,,,0
Robar Royce,"Runestone , the Vale of Arryn","299 AC Near Storm's End , the Stormlands",Royce,['Kingsguard'],Ser,Valemen,Yohn Royce,,{ Waymar Royce },Game of Thrones,2,""" The Ghost of Harrenhal """,,,"""The Ghost of Harrenhal""",Unidentified,,Faith of the Seven,,,,,,,,1
Waymar Royce,"Runestone , the Vale of Arryn","298 AC The Haunted Forest , beyond the Wall",Royce,"[""Night's Watch""]",Ser,Valemen,Yohn Royce,,{ Robar Royce },Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Rob Ostlere Jamie Campbell Bower ( pilot ),,Faith of the Seven,,,,,,,,1
Yohn Royce,At Runestone,,Royce,"['Arryn', 'Stark']",Lord of Runestone,Valemen,{ Andar Royce },Elena Egen,,Game of Thrones,4 · 5 · 6 · 7 · 8,13 episodes ( see below ),""" The Mountain and the Viper """,""" The Iron Throne """,,Rupert Vansittart,,Faith of the Seven,{ Robar Royce } { Waymar Royce },Bronze Yohn,,,,,,0
Jaremy Rykker,In Duskendale,,,"[""Night's Watch""]",Ser Acting First Ranger (in place of Benjen Stark ),Crownlander,,,,Game of Thrones,1,""" You Win or You Die """,,,,Jeffrey O'Brien,,Faith of the Seven,,,,,,,,0
Salladhor Saan,At Lys,,,['Baratheon'],,Summer Islander /Lysene,,,,Game of Thrones,2 · 3 · 4,3 episodes ( see below ),""" The Night Lands """,""" The Laws of Gods and Men """,,Lucian Msamati,At least 4 wives,,,,,,,,,0
Sally,"The Riverlands , Westeros","301 - 304 AC The Riverlands, Westeros",,['Unknown'],,Rivermen,{ Farmer },{Mother},,Game of Thrones,4 · 7,2 episodes ( see below ),""" Breaker of Chains """,""" Dragonstone "" (corpse)","""Dragonstone"" (fate confirmed)",Trixiebelle Harrowell,,Faith of the Seven,,,,,,,,1
Sam,300 AC (age 5) at Craster's Keep,,,['Unknown'],,Free Folk,{ Craster } (biological) Samwell Tarly (adoptive),Gilly,Morag Sissy Gilly { Craster's last son } 100 brothers and even more sisters,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,20 episodes ( see below ),""" Walk of Punishment """,""" The Long Night """,,Arya Hasson (Season 3) Unidentified (Seasons 3-5) William and James Wilson (Seasons 6-7) Finn and Logan Watson (Season 8),,,,Little Sam,,,,,,0
Daemon Sand,,,,['Martell'],Ser,Dornish,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Ellaria Sand,At Hellholt,304 - 305 AC in King's Landing,,"['Uller', 'Martell', 'Targaryen']",,Dornish,,,,Game of Thrones,4 · 5 · 6 · 7,13 episodes ( see below ),""" Two Swords """,""" The Queen's Justice """,,Indira Varma,,Faith of the Seven,{ Tyene Sand } 3 other daughters,,,,,{ Oberyn Martell } ( paramour ),,1
Nymeria Sand,"Yi Ti , Further East","304 AC The Black Wind , Blackwater Bay",,['Martell'],,YiTish / Dornish,{ Oberyn Martell },{YiTish noblewoman},Paternal half-sisters: { Obara Sand } { Tyene Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,Game of Thrones,5 · 6 · 7,8 episodes ( see below ),""" Sons of the Harpy """,""" Stormborn ""","""Stormborn""",Jessica Henwick,,,,Nym Sand Snake,,,,,,1
Obara Sand,"Oldtown , the Reach","304 AC The Black Wind , Blackwater Bay",,['Martell'],,Dornish,{ Oberyn Martell },{ Lowborn Reachwoman },Paternal half-sisters: { Nymeria Sand } { Tyene Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,Game of Thrones,5 · 6 · 7,8 episodes ( see below ),""" Sons of the Harpy """,""" Stormborn ""","""Stormborn""",Keisha Castle-Hughes,,Faith of the Seven,,Sand Snake,,,,,,1
Tyene Sand,,"304 AC King's Landing , the Crownlands",,['Martell'],,Dornish,{ Oberyn Martell },{ Ellaria Sand },Paternal half-sisters and biological sisters: { Obara Sand } { Nymeria Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,Game of Thrones,5 · 6 · 7,9 episodes ( see below ),""" Sons of the Harpy """,""" The Queen's Justice ""","""The Queen's Justice""",Rosabell Laurenti Sellers,,Faith of the Seven,,Sand Snake,,,,,,1
Sandhu,,,,['Order of Maesters'],Archmaester,,,,,Game of Thrones,7,""" Eastwatch """,,,,Julian Firth,,,,,,,,,,0
Aron Santagar,At Spottswood,,,['Baratheon'],Ser Master-at-arms at the Red Keep,Dornish,,,,Game of Thrones,1,""" The Pointy End """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Sarra,In the North,,,['Stark'],,Northern,,,,Game of Thrones,8,""" The Last of the Starks """,,,,Danielle Galligan,,Old Gods,,,,,,,,0
Eldrick Sarsfield,Sarsfield,,Sarsfield,['Unknown'],Ser,Westermen,,,,Game of Thrones,3,""" Mhysa """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Scolera,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Faith of the Seven'],Septa,,,,,Game of Thrones,5,2 episodes ( see below ),""" The Gift """,""" Mother's Mercy """,,Mary Jordan,,Faith of the Seven,,,,,,,,1
Davos Seaworth,"Davos of Flea Bottom Flea Bottom , King's Landing",,Seaworth,"['Baratheon', 'Stark', 'Small Council']","Ser Hand of the King (formerly, to Stannis I ) Lord Master of Ships",Crownlander,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,42 episodes ( see below ),""" The North Remembers """,""" The Iron Throne """,,Liam Cunningham,Marya Seaworth,,{ Matthos Seaworth },The Onion Knight,,,,,,0
Matthos Seaworth,In the Stormlands,"299 AC off the coast of King's Landing Killed by a wildfire explosion caused by Bronn , on the orders of Tyrion Lannister , during the Battle of the Blackwater",Seaworth,['Baratheon'],,Andal,Davos Seaworth,Marya Seaworth,,Game of Thrones,2,4 episodes ( see below ),""" The North Remembers """,""" Blackwater ""","""Blackwater""",Kerr Logan,,Lord of Light,,,,,,,,1
Barristan Selmy,"Harvest Hall , the Stormlands",302 AC Meereen,Selmy,"['Kingsguard', 'Targaryen', 'Queensguard']",Ser Lord Commander of the Kingsguard (formerly),Marcher,{ Lyonel Selmy },,,Game of Thrones,1 · 3 · 4 · 5,25 episodes ( see below ),""" Lord Snow """,""" Kill the Boy "" (corpse)",""" Sons of the Harpy """,Ian McElhinney,,,,Barristan the Bold Barristan the Old,,,,,,1
Septon (The Rains of Castamere),,,,"['Faith of the Seven', 'Frey']",Septon,Andal,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,Kenneth Hadley,,Faith of the Seven,,,,,,,,0
Septon (Valar Morghulis),,,,['Faith of the Seven'],Septon,Westerosi,,,,Game of Thrones,2,""" Valar Morghulis """,,,,Terry Byrne,,Faith of the Seven,,,,,,,,0
Ser Pounce,,,,['Unknown'],,,,,,Game of Thrones,4,""" Oathkeeper """,,,,,,,,,,Cat,{ Tommen Baratheon },,,0
Shae,Lorath,"301 AC Tower of the Hand , King's Landing",,['Lannister'],,Lorathi,,,,Game of Thrones,1 · 2 · 3 · 4,20 episodes ( see below ),""" Baelor """,""" The Children ""","""The Children""",Sibel Kekilli,,,,,,,,Tyrion Lannister { Tywin Lannister },,1
Shagga,In the Mountains of the Moon,,,['Stone Crows'],Chieftain of the Stone Crows,Hill tribes,Dolf,,,Game of Thrones,1,2 episodes ( see below ),""" The Pointy End """,""" Baelor """,,Mark Lewis Jones,,,,,,,,,,0
Shaggydog,"298 AC The North , the Seven Kingdoms","303 AC (aged 5) Last Hearth , the North",,['Unknown'],,,,,,Game of Thrones,1 · 2 · 3 · 6,9 episodes ( see below ),""" Winter Is Coming """,""" Battle of the Bastards "" (corpse)",""" Oathbreaker "" (fate confirmed)",,,,,,,Direwolf,{ Rickon Stark },,{ Grey Wind } (brother) { Lady } (sister) Nymeria (sister) { Summer } (brother) Ghost (brother),1
Silk King,In Qarth,299 AC in Qarth Throat slit by a duplicate of Pyat Pree,,['Thirteen'],,Qartheen,,,,Game of Thrones,2,3 episodes ( see below ),""" Garden of Bones """,""" A Man Without Honor ""","""A Man Without Honor""",Slavko Juraga,,,,,,,,,,1
Simpson,In the North,302 AC near Winterfell Stabbed in the neck by Stannis Baratheon during the battle in the ice,,['Bolton'],,Northern,,,,Game of Thrones,5,""" Mother's Mercy """,,,"""Mother's Mercy""",Laurence O'Fuarain,,Old Gods,,,,,,,,1
Singing Lannister soldier,,,,['Lannister'],,Westerosi,,,,Game of Thrones,2,""" Blackwater """,,,,Stephen Swift,,,,,,,,,,0
Sissy,At Craster's Keep,,,['Unknown'],,Free Folk,{ Craster },,Morag Gilly Sam { Craster's last son } 101 brothers and even more sisters,Game of Thrones,4,2 episodes ( see below ),""" Oathkeeper """,""" First of His Name """,,Jane McGrath,{Craster},White Walkers,,,,,,,,0
Slave (Breaker of Chains),,,,['Great Masters'],,,,,,Game of Thrones,4,""" Breaker of Chains """,,,,Joshua Sher,,,,,,,,,,0
Slaver,,,,['Unknown'],,,,,,Game of Thrones,5,""" Unbowed, Unbent, Unbroken """,,,,Michael Yare,,,,,,,,,,0
Janos Slynt,In King's Landing,302 AC at Castle Black Beheaded by Jon Snow for insubordination,Slynt,"['City Watch', ""Night's Watch""]",Commander of the City Watch (formerly) Lord of Harrenhal (formerly),Andal,,,,Game of Thrones,1 · 2 · 4 · 5,15 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" High Sparrow ""","""High Sparrow""",Dominic Carter,,Faith of the Seven,,,,,,,,1
Smitty,,301 AC at Castle Black Fell off the top of the Wall,,"[""Night's Watch""]",,,,,,Game of Thrones,4,""" The Watchers on the Wall """,,,"""The Watchers on the Wall""",Unidentified,,,,,,,,,,1
Jon Snow,"Aegon Targaryen 281 AC (age 24) Tower of Joy , Dorne","302 AC Castle Black , the Gift (later resurrected)",Targaryen,"['Stark', ""Night's Watch""]",998th Lord Commander of the Night's Watch (formerly) King in the North (formerly) Warden of the North (formerly),Northern,{ Rhaegar Targaryen } (biological) { Eddard Stark } (adoptive),{ Lyanna Stark },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,63 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,""" Mother's Mercy """,Kit Harington,,Old Gods,,Lord Snow King Crow The White Wolf The Bastard of Winterfell,,,,{ Ygritte } { Daenerys I Targaryen },,1
Son of the Harpy,In Meereen,302 AC in Meereen Killed by Mossador,,"['Great Masters', 'Sons of the Harpy']",,Ghiscari ( Meereenese ),,,,Game of Thrones,5,""" The House of Black and White """,,,"""The House of Black and White""",Curtis-Lee Ashqar,,Ghiscari religion,,,,,,,,1
Sorcerer,,,,['Unknown'],,Myrish,,,,Game of Thrones,3,""" And Now His Watch Is Ended """,,,,Harold James McMullan,,,,,,,,,,0
Spice King,In Qarth,299 AC in Qarth Throat slit by a duplicate of Pyat Pree,,['Thirteen'],,Qartheen,,,,Game of Thrones,2,3 episodes ( see below ),""" Garden of Bones """,""" A Man Without Honor ""","""A Man Without Honor""",Nicholas Blane,,,,,,,,,,1
Stableboy,,"298 AC King's Landing , the Crownlands",,['Baratheon'],,,,,,Game of Thrones,1,""" The Pointy End """,,,,Hugo Culverhouse,,,,,,,,,,1
Stark (wight),At Winterfell,Long before 305 AC 305 AC at Winterfell Destroyed with a dragonglass dagger by Tyrion Lannister or Sansa Stark during the Battle of Winterfell,Stark,['White Walkers'],,Northern,,,,Game of Thrones,8,""" The Long Night """,,,,Unidentified,,Old Gods,,,,,,,,1
Stark guard (A Man Without Honor),In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" A Man Without Honor """,""" The Prince of Winterfell """,,David Sheehan,,Old Gods,,,,,,,,0
Stark guard (Fire and Blood),In the North,,,['Stark'],,Northern,,,,Game of Thrones,1,""" Fire and Blood """,,,,Faolan Morgan,,Old Gods,,,,,,,,0
Stark guard (The Old Gods and the New),In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Colin McMurray,,Old Gods,,,,,,,,0
Stark guard (The Pointy End),In the North,,,['Stark'],,Northern,,,,Game of Thrones,1,""" The Pointy End """,,,,Rick Burn,,Old Gods,,,,,,,,0
Stark messenger,In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,""" The Prince of Winterfell """,,,,Moe Dunford,,Old Gods,,,,,,,,0
Stark soldier (The Queen%27s Justice),In the North,,,['Stark'],,Northern,,,,Game of Thrones,7,""" The Queen's Justice """,,,,Luke Wilson Hanley,,Old Gods,,,,,,,,0
Stark soldier (Valar Morghulis),In the North,299 AC near the Red Fork Throat cut by Brienne of Tarth,,['Stark'],,Northern,,,,Game of Thrones,2,""" Valar Morghulis """,,,"""Valar Morghulis""",Michael Shaeffer,,Old Gods,,,,,,,,1
Arya Stark,"287 AC (age 18) Winterfell , the North",,Stark,['Faceless Men'],,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,59 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Maisie Williams Additional actors when Arya is disguised: Hattie Gotobed ( Ghita ) Sabrina Bartlett (serving girl) David Bradley ( Walder Frey ),,Old Gods Faith of the Seven Many-Faced God,,Arry Lanna Mercy,,,,Gendry Baratheon (briefly),,0
Benjen Stark,"Winterfell , the North","304 AC Beyond the Wall , Westeros",Stark,"[""Night's Watch"", 'Three-Eyed Raven']",First Ranger (formerly),Northern,{ Rickard Stark },,{ Brandon Stark } { Eddard Stark } { Lyanna Stark },Game of Thrones,1 · 6 · 7,8 episodes ( see below ),""" Winter Is Coming """,""" Beyond the Wall ""","""Beyond the Wall""",Joseph Mawle Matteo Elezi (child),,Old Gods,,,,,,,,1
Bran Stark,"Brandon Stark 288 AC (age 17) Winterfell , the North",,Stark,['Children of the Forest'],Three-Eyed Raven King of the Andals and the First Men Lord of the Six Kingdoms Protector of the Realm,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 4 · 6 · 7 · 8,40 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Isaac Hempstead-Wright,,Old Gods,,,A three-eyed raven spreading its wings,,,,,0
Catelyn Stark,"Catelyn Tully Riverrun , the Riverlands","300 AC The Twins , the Riverlands",Tully Stark (by marriage),['Unknown'],,Rivermen,{ Hoster Tully },{ Minisa Whent },,Game of Thrones,1 · 2 · 3 · 6,26 episodes ( see below ),""" Winter Is Coming """,""" Blood of My Blood "" (vision(s))",""" The Rains of Castamere """,Michelle Fairley Jennifer Ehle ( pilot ),{ Eddard Stark },Faith of the Seven,{ Robb Stark } Sansa Stark Arya Stark Bran I the Broken { Rickon Stark },Cat,,,,,,1
Eddard Stark,"Winterfell , the North","298 AC Great Sept of Baelor , King's Landing",Stark,"['Arryn', 'Baratheon', 'Small Council']",Lord of Winterfell Warden of the North Hand of the King Lord Regent Protector of the Realm,Northern,{ Rickard Stark },,,Game of Thrones,1 · 2 · 3 · 4 · 6 · 7,19 episodes ( see below ),""" Winter Is Coming """,""" The Dragon and the Wolf "" (vision(s))",""" Baelor """,Sean Bean Robert Aramayo (adolescent) Sebastian Croft (child),{ Catelyn Tully },Old Gods,{ Robb Stark } Jon Snow (nephew raised as bastard son) Sansa Stark Arya Stark Bran I the Broken { Rickon Stark },Ned,,,,,,1
Lyanna Stark,At Winterfell,281 AC in the Tower of Joy Bled to death following a caesarean section to give birth to Jon Snow,Stark Targaryen (by marriage),['Unknown'],,Northern,{ Rickard Stark },,{ Brandon Stark } { Eddard Stark } { Benjen Stark },Game of Thrones,6 · 7,5 episodes ( see below ),""" Home "" (vision(s))",""" The Dragon and the Wolf "" (vision(s))",""" The Winds of Winter "" (vision(s))",Aisling Franciosi Cordelia Hill (child),{ Rhaegar Targaryen },Old Gods,Jon Snow,,,,,,,1
Rickard Stark,At Winterfell,281 AC in King's Landing Burned alive with wildfire by Aerys II Targaryen,Stark,['Targaryen'],Lord of Winterfell Warden of the North,Northern,,,,Game of Thrones,6,""" The Door "" (vision(s))",,,,Wayne Foskett,,Old Gods,{ Brandon Stark } { Eddard Stark } { Lyanna Stark } { Benjen Stark },,,,,,,1
Rickon Stark,"292 AC Winterfell , the North","303 AC (aged 11) Near Winterfell, the North",Stark,['Unknown'],Prince,Northern,{ Eddard Stark },{ Catelyn Tully },{ Robb Stark } Jon Snow (paternal cousin raised as bastard half-brother) Sansa Stark Arya Stark Bran I the Broken,Game of Thrones,1 · 2 · 3 · 6,14 episodes ( see below ),""" Winter Is Coming """,""" Battle of the Bastards ""","""Battle of the Bastards""",Art Parkinson,,Old Gods,,,,,,,,1
Robb Stark,"281 AC Riverrun , the Riverlands","300 AC (aged 19) The Twins , the Riverlands",Stark,['Unknown'],Lord of Winterfell King in the North,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 6,23 episodes ( see below ),""" Winter Is Coming """,""" Blood of My Blood "" (vision(s))",""" The Rains of Castamere """,Richard Madden,{ Talisa Maegyr },Faith of the Seven,,The Wolf Pup The Young Wolf The King Who Lost the North,,,,,,1
Sansa Stark,"285 AC (age 20) Winterfell , the North",,Stark Lannister (by marriage) Bolton (by marriage),['Targaryen'],Lady of Winterfell Wardeness of the North (briefly) Queen in the North,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,59 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Sophie Turner,"Tyrion Lannister (1st husband, unconsummated) { Ramsay Bolton } (2nd husband)",Faith of the Seven,,Little dove Little bird Sansa Lannister Alayne Lady Bolton,"Black, a white direwolf's head contourny within weirwood branches proper",,,,,0
Talisa Stark,"Talisa Maegyr Volantis , the Free Cities","300 AC The Twins , the Riverlands",Maegyr Stark (by marriage),['Old Blood'],Queen,Volantene,,,Brother,Game of Thrones,2 · 3,11 episodes ( see below ),""" Garden of Bones """,""" The Rains of Castamere ""","""The Rains of Castamere""",Oona Chaplin,{ Robb Stark },,,,,,,,,1
Steelshanks,In the North,,,['Bolton'],,Northern,,,,Game of Thrones,3,4 episodes ( see below ),""" And Now His Watch Is Ended """,""" The Bear and the Maiden Fair """,,Jamie Michie,,Old Gods,,,,,,,,0
Steffon,In the North,,,['Unknown'],,Northern,,,,Game of Thrones,1,""" A Golden Crown """,,,,Unidentified,,,,,,,,,,0
Steve,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,""" No One """,,,"""No One""",Steve Love,,,,,,,,,,1
Joss Stilwood,The Westerlands,,,['Clegane'],,Westermen,,,,Game of Thrones,1 · 4,2 episodes ( see below ),""" The Wolf and the Lion """,""" The Mountain and the Viper """,,Unidentified,,Faith of the Seven,,,,,,,,0
Stiv,In Westeros,298 AC in the Wolfswood Shot in the back by Theon Greyjoy,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" A Golden Crown """,,,"""A Golden Crown""",Stephen Don,,,,,,,,,,1
Lollys Stokeworth,At Castle Stokeworth,,Stokeworth,['Unknown'],,Crownlander,{ Father },Tanda Stokeworth,Falyse Stokeworth,Game of Thrones,5,""" The House of Black and White """,,,,Elizabeth Cadwallader,,Faith of the Seven,,,,,,,,0
Samwell Stone,,,,['Royce'],Ser Master-at-arms at Runestone,Valemen,,,,Game of Thrones,5,""" The Wars To Come """,,,,Allan Gildea,,Faith of the Seven,,Sam,,,,,,0
Stonesnake,,299 AC on the Skirling Pass Killed by wildlings,,"[""Night's Watch""]",,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" The Old Gods and the New """,,Unidentified,,,,,,,,,,1
Stranger (horse),,,,['Unknown'],,,,,,Game of Thrones,3 · 4,7 episodes ( see below ),""" Second Sons """,""" Mockingbird """,,,,,,,,Horse,{ Sandor Clegane },,,0
Street tough 1,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" The House of Black and White """,,,,Tom Fava,,,,,,,,,,0
Street tough 2,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" The House of Black and White """,,,,Winston Davis,,,,,,,,,,0
Harry Strickland,In the Free Cities,305 AC in King's Landing Speared in the back by Grey Worm during the Battle of King's Landing,Strickland,"['Golden Company', 'Lannister']",Captain,Andal,,,,Game of Thrones,8,2 episodes ( see below ),""" Winterfell """,""" The Bells ""","""The Bells""",Marc Rissmann,,,,,,,,,,1
Aberdolf Strongbeard,In the North,,,"['Baratheon', 'Stark']",,Northern,,,,Game of Thrones,5 · 6 · 7 · 8,10 episodes ( see below ),""" The Dance of Dragons """,""" The Iron Throne """,,Andrew McClay,,Old Gods,,,,,,,,0
Stygg,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,""" Valar Morghulis """,,,,Unidentified,,Drowned God,,,,,,,,1
Styr,In Thenn,301 AC at Castle Black,,['Mance Rayder'],Magnar,Thenn,,,,Game of Thrones,4,4 episodes ( see below ),""" Two Swords """,""" The Watchers on the Wall ""","""The Watchers on the Wall""",Yuri Kolokolnikov,,Old Gods,,,,,,,,1
Summer,"298 AC The North , the Seven Kingdoms","303 AC (aged 5) The cave of the Three-Eyed Raven , beyond the Wall",,['Unknown'],,,,,,Game of Thrones,1 · 2 · 3 · 4 · 6,15 episodes ( see below ),""" Winter Is Coming """,""" The Door ""","""The Door""",,,,,,,Direwolf,Bran Stark,,{ Grey Wind } (brother) { Lady } (sister) Nymeria (sister) { Shaggydog } (brother) Ghost (brother),1
Balon Swann,At Stonehelm,305 AC in King's Landing Killed by Sandor Clegane or crushed by debris during the Battle of King's Landing,Swann,"['Kingsguard', 'Queensguard']",Ser,Andal,,,,Game of Thrones,3 · 5 · 7 · 8,4 episodes ( see below ),""" The Bear and the Maiden Fair """,""" The Bells ""","""The Bells""",Unidentified,,Faith of the Seven,,,,,,,,1
Harys Swyft,Cornfield,,Swyft,['Lannister'],Ser,Westermen,,,,Game of Thrones,1,""" Fire and Blood """,,,,Unidentified,,Faith of the Seven,Dorna Lannister,,,,,,,0
Karl Tanner,"Gin Alley , the Crownlands","301 AC Craster's Keep , beyond the Wall",,"[""Night's Watch"", 'Mutineers']",,Andal,,,,Game of Thrones,3 · 4,4 episodes ( see below ),""" Walk of Punishment """,""" First of His Name ""","""First of His Name""",Burn Gorman,,,,,,,,,,1
Tansy,,"301 AC Near the Dreadfort , the North",,['Bolton'],,Northern,,,,Game of Thrones,4,""" The Lion and the Rose """,,,"""The Lion and the Rose""",Jazzy de Lisser,,,,,,,,{ Ramsay Snow },,1
Daenerys Targaryen%27s mare,,299 AC in the Red Waste Died of starvation and thirst,,['Unknown'],,,,,,Game of Thrones,1 · 2,7 episodes ( see below ),""" Winter Is Coming """,""" The North Remembers ""","""The North Remembers""",,,,,,,Horse,{ Daenerys Targaryen },,,1
Aerys II Targaryen,"Red Keep , King's Landing","281 AC Throne room , King's Landing",Targaryen,['Unknown'],Prince of Dragonstone King of the Andals and the Rhoynar and the First Men Lord of the Seven Kingdoms Protector of the Realm,Valyrian,{ Aegon V Targaryen },,,Game of Thrones,6,""" Blood of My Blood "" (vision(s))",,,"""Blood of My Blood"" (vision(s))",David Rintoul Liam Burke ( pilot ),{ Rhaella Targaryen },,{ Rhaegar Targaryen } { Viserys Targaryen } { Daenerys I Targaryen },The Mad King King Scab,,,,,,1
Daenerys Targaryen,"281 AC Dragonstone , the Crownlands","305 AC (aged 24) Throne room , King's Landing",Targaryen,['Unknown'],Princess of Dragonstone (formerly) Queen of Meereen (formerly) Mother of Dragons Khaleesi of the Great Grass Sea The Unburnt Breaker of Chains Queen of the Andals and the First Men Protector of the Seven Kingdoms,Valyrian,{ Aerys II Targaryen },{ Rhaella Targaryen },{ Rhaegar Targaryen } { Viserys Targaryen },Game of Thrones House of the Dragon,Game of Thrones : 1 · 2 · 3 · 4 · 5 · 6 · 7 · 8 House of the Dragon : 2,63 episodes ( see below ),""" Winter Is Coming """,""" The Queen Who Ever Was "" (vision(s))",""" The Iron Throne """,Emilia Clarke Imogen Ruby Little ( House of the Dragon ) Tamzin Merchant ( pilot ),{ Drogo },,{ Rhaego } (stillborn),Daenerys Stormborn Dany Mhysa The Queen Across the Sea The Silver Queen The Dragon Queen,,,,Daario Naharis (formerly) Jon Snow,,1
Rhaegar Targaryen,"258 AC Summerhall , the Stormlands","281 AC (aged 23) Ruby Ford , the Riverlands",Targaryen,['Unknown'],Prince of Dragonstone Ser,Valyrian,{ Aerys II Targaryen },{ Rhaella Targaryen },{ Viserys Targaryen } { Daenerys Targaryen },Game of Thrones,7,""" The Dragon and the Wolf "" (vision(s))",,,,Wilf Scolding,{ Elia Martell } (annulled) { Lyanna Stark },,With Elia: { Rhaenys Targaryen } { Aegon Targaryen } With Lyanna: Jon Snow,The last dragon,,,,,,1
Viserys Targaryen (son of Aerys II),"276 AC Red Keep , King's Landing","298 AC (aged 22) Vaes Dothrak , Dothraki Sea",Targaryen,['Unknown'],Prince of Dragonstone (briefly) King of the Andals and the First Men (claimant) Lord of the Seven Kingdoms (claimant) Protector of the Realm (claimant),Valyrian,{ Aerys II Targaryen },{ Rhaella Targaryen },{ Rhaegar Targaryen } { Daenerys Targaryen },Game of Thrones,1,5 episodes ( see below ),""" Winter Is Coming """,""" A Golden Crown ""","""A Golden Crown""",Harry Lloyd,,,,King Viserys III (self-styled) The Last Dragon The Dragon The Beggar King Khal Rhae Mhar,,,,,,1
Dickon Tarly,At Horn Hill,304 AC on the Goldroad Burned alive by Drogon on the orders of Daenerys Targaryen,Tarly,['Unknown'],,Andal,{ Randyll Tarly },Melessa Florent,Samwell Tarly Talla Tarly,Game of Thrones,6 · 7,5 episodes ( see below ),""" Blood of My Blood """,""" Eastwatch ""","""Eastwatch""",Freddie Stroma (Season 6) Tom Hopper (Season 7),,Faith of the Seven,,,,,,,,1
Melessa Tarly,Melessa Florent At Brightwater Keep,,Florent Tarly (by marriage),['Unknown'],,Andal,,,,Game of Thrones,6,""" Blood of My Blood """,,,,Samantha Spiro,{ Randyll Tarly },Faith of the Seven,,,,,,,,0
Randyll Tarly,At Horn Hill,304 AC on the Goldroad Burned alive by Drogon on the orders of Daenerys Targaryen,Tarly,"['Tyrell', 'Lannister']",,Andal,,,,Game of Thrones,6 · 7,5 episodes ( see below ),""" Blood of My Blood """,""" Eastwatch ""","""Eastwatch""",James Faulkner,Melessa Florent,Faith of the Seven,,,,,,,,1
